show_id,tmdb_id,tmdb_title,tmdb_original_title,tmdb_media_type,tmdb_release_date,imdb_rating,imdb_votes,tmdb_popularity,tmdb_original_language,tmdb_adult
s8170,420634,Terrifier,Terrifier,movie,2018-01-25,6.327,2833,5.7862,en,FALSE
s8201,397601,The Bachelors,The Bachelors,movie,2017-10-20,7.065,169,2.6676,en,FALSE
s8226,435129,The Breadwinner,The Breadwinner,movie,2017-11-17,7.829,888,1.8888,en,FALSE
s8228,366630,The Bridge,The Bridge,movie,2015-12-06,6.2,58,3.3581,en,FALSE
s8233,292280,The Bye Bye Man,The Bye Bye Man,movie,2017-01-12,5.169,1266,1.5253,en,FALSE
s8235,464825,The Cakemaker,האופה מברלין,movie,2017-12-28,7,127,1.5905,he,FALSE
s8239,475013,The Carter Effect,The Carter Effect,movie,2017-09-09,7,57,1.0183,en,FALSE
s8240,424998,The Case for Christ,The Case for Christ,movie,2017-04-07,6.9,310,1.4998,en,FALSE
s8241,471513,The Cell,الخلية,movie,2017-08-30,6.329,35,0.3365,ar,FALSE
s8244,124606,The Chefs Line,The Chefs Line,tv,2017-04-03,0,0,0.1756,en,FALSE
s8271,489471,The Dawn Wall,The Dawn Wall,movie,2017-11-01,8.057,333,1.8265,en,FALSE
s8274,451985,The Desert Bride,La novia del desierto,movie,2017-09-21,6.327,26,1.4376,es,FALSE
s8275,475369,Deadly Detention,Deadly Detention,movie,2017-01-23,3.9,34,0.5284,en,FALSE
s8276,457775,The Devil and Father Amorth,The Devil and Father Amorth,movie,2018-04-20,5.072,104,1.6236,en,FALSE
s8290,430231,The Endless,The Endless,movie,2017-11-05,6.335,1221,1.6456,en,FALSE
s8309,432972,The Force,The Force,movie,2017-01-22,6.8,24,1.8963,en,FALSE
s8310,379149,The Foreigner,The Foreigner,movie,2017-09-28,6.971,2818,5.1172,en,FALSE
s8324,458836,The Good Catholic,The Good Catholic,movie,2017-09-08,5.48,49,0.9904,en,FALSE
s8338,466129,The Hatred,The Hatred,movie,2017-11-29,5.348,89,3.7559,en,FALSE
s8340,340270,The Healer,The Healer,movie,2017-02-17,7.2,522,3.8441,en,FALSE
s8343,438736,The Heretics,The Heretics,movie,2017-11-01,4.938,105,0.4549,en,FALSE
s8345,333033,The Heyday of the Insensitive Bastards,The Heyday of the Insensitive Bastards,movie,2015-03-25,4.818,44,0.6809,en,FALSE
s8352,456048,The Humanity Bureau,The Humanity Bureau,movie,2017-07-11,4.806,379,1.9932,en,FALSE
s8376,364220,The Keeping Hours,The Keeping Hours,movie,2017-06-15,6.967,152,2.5438,en,FALSE
s8380,71497,The Lady in Dignity,품위있는 그녀,tv,2017-06-16,6.25,18,1.4631,ko,FALSE
s8382,418109,The Scythian Lamb,羊の木,movie,2018-02-03,6,20,2.0611,ja,FALSE
s8391,490299,The Legend of 420,The Legend of 420,movie,2017-12-01,7.5,18,1.1409,en,FALSE
s8394,411873,The Little Hours,The Little Hours,movie,2017-06-30,5.893,629,4.7213,en,FALSE
s8400,429467,The Lodgers,The Lodgers,movie,2017-10-05,5.038,502,2.9986,en,FALSE
s8411,501718,The Magic Pill,The Magic Pill,movie,2017-09-07,6.827,26,0.2263,en,FALSE
s8419,437073,The Mayor,특별시민,movie,2017-04-26,6.5,44,2.1754,ko,FALSE
s8433,475242,The Music of Silence,La musica del silenzio,movie,2017-09-18,7.022,93,1.5172,it,FALSE
s8440,72757,The Nineties,The Nineties,tv,2017-07-09,6.9,22,1.7543,en,FALSE
s8457,394537,The Pirates of Somalia,The Pirates of Somalia,movie,2017-12-08,6.9,244,2.2508,en,FALSE
s8463,540556,Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,movie,2017-09-09,7.043,47,1.7762,en,FALSE
s8468,673,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,movie,2004-05-31,8.011,22590,18.9456,en,FALSE
s8491,82195,The Road to Calvary,Хождение по мукам,tv,2017-11-27,7.2,18,0.9377,ru,FALSE
s8506,375098,The Show,The Show,movie,2017-09-21,5.7,209,1.3459,en,FALSE
s8520,74236,The Story of Us with Morgan Freeman,The Story of Us with Morgan Freeman,tv,2017-10-11,6.8,14,0.7722,en,FALSE
s8521,470006,The Student,The Student,movie,2017-03-20,5.7,18,2.5468,en,FALSE
s8523,463022,The Super,The Super,movie,2018-11-08,5.171,164,4.1968,en,FALSE
s8531,560023,The Tigers of Scotland,The Tigers of Scotland,movie,2017-10-01,6.1,8,0.8581,en,FALSE
s8535,324562,The Tribes of Palos Verdes,The Tribes of Palos Verdes,movie,2017-12-01,5.4,82,2.085,en,FALSE
s8545,71678,The Underwear,รักชั้นนัย,tv,2017-01-29,0,0,0.4484,th,FALSE
